E: 2.895008 0004 0000 -1630459253	# EV_MSC / MSC_SERIAL           -1630459253
E: 2.895008 0000 0000 0000	# ------------ SYN_REPORT (0) ---------- +10ms
E: 2.899924 0003 0018 1405	# EV_ABS / ABS_PRESSURE         1405
E: 2.899924 0004 0000 -1630459253	# EV_MSC / MSC_SERIAL           -1630459253
E: 2.899924 0000 0000 0000	# ------------ SYN_REPORT (0) ---------- +4ms
E: 2.909856 0003 0018 1455	# EV_ABS / ABS_PRESSURE         1455
E: 2.909856 0004 0000 -1630459253	# EV_MSC / MSC_SERIAL           -1630459253
E: 2.909856 0000 0000 0000	# ------------ SYN_REPORT (0) ---------- +10ms
E: 2.913976 0003 0018 1500	# EV_ABS / ABS_PRESSURE         1500
E: 2.913976 0004 0000 -1630459253	# EV_MSC / MSC_SERIAL           -1630459253
E: 2.913976 0000 0000 0000	# ------------ SYN_REPORT (0) ---------- +4ms
E: 2.923999 0003 0018 1535	# EV_ABS / ABS_PRESSURE         1535
E: 2.923999 0004 0000 -1630459253	# EV_MSC / MSC_SERIAL           -1630459253
E: 2.923999 0000 0000 0000	# ------------ SYN_REPORT (0) ---------- +10ms
E: 2.928996 0003 0018 1566	# EV_ABS / ABS_PRESSURE         1566
E: 2.928996 0004 0000 -1630459253	# EV_MSC / MSC_SERIAL           -1630459253
E: 2.928996 0000 0000 0000	# ------------ SYN_REPORT (0) ---------- +5ms
E: 2.939004 0003 0000 20671	# EV_ABS / ABS_X                20671
E: 2.939004 0003 0018 1594	# EV_ABS / ABS_PRESSURE         1594
E: 2.939004 0004 0000 -1630459253	# EV_MSC / MSC_SERIAL           -1630459253
E: 2.939004 0000 0000 0000	# ------------ SYN_REPORT (0) ---------- +11ms
E: 2.943973 0003 0018 1622	# EV_ABS / ABS_PRESSURE         1622
E: 2.943973 0004 0000 -1630459253	# EV_MSC / MSC_SERIAL           -1630459253
E: 2.943973 0000 0000 0000	# ------------ SYN_REPORT (0) ---------- +4ms
E: 2.953992 0003 0018 1649	# EV_ABS / ABS_PRESSURE         1649
E: 2.953992 0004 0000 -1630459253	# EV_MSC / MSC_SERIAL           -1630459253
E: 2.953992 0000 0000 0000	# ------------ SYN_REPORT (0) ---------- +10ms
E: 2.958774 0003 0018 1675	# EV_ABS / ABS_PRESSURE         1675
E: 2.958774 0004 0000 -1630459253	# EV_MSC / MSC_SERIAL           -1630459253
E: 2.958774 0000 0000 0000	# ------------ SYN_REPORT (0) ---------- +5ms
E: 2.968769 0003 0018 1697	# EV_ABS / ABS_PRESSURE         1697
E: 2.968769 0004 0000 -1630459253	# EV_MSC / MSC_SERIAL           -1630459253
E: 2.968769 0000 0000 0000	# ------------ SYN_REPORT (0) ---------- +10ms
E: 2.973874 0003 0018 1719	# EV_ABS / ABS_PRESSURE         1719
E: 2.973874 0004 0000 -1630459253	# EV_MSC / MSC_SERIAL           -1630459253
E: 2.973874 0000 0000 0000	# ------------ SYN_REPORT (0) ---------- +5ms
E: 2.983946 0003 0018 1739	# EV_ABS / ABS_PRESSURE         1739
E: 2.983946 0004 0000 -1630459253	# EV_MSC / MSC_SERIAL           -1630459253
E: 2.983946 0000 0000 0000	# ------------ SYN_REPORT (0) ---------- +10ms
E: 2.988749 0003 0018 1759	# EV_ABS / ABS_PRESSURE         1759
E: 2.988749 0004 0000 -1630459253	# EV_MSC / MSC_SERIAL           -1630459253
E: 2.988749 0000 0000 0000	# ------------ SYN_REPORT (0) ---------- +5ms
E: 2.998749 0003 0018 1778	# EV_ABS / ABS_PRESSURE         1778
E: 2.998749 0004 0000 -1630459253	# EV_MSC / MSC_SERIAL           -1630459253
E: 2.998749 0000 0000 0000	# ------------ SYN_REPORT (0) ---------- +10ms
E: 3.003868 0003 0018 1797	# EV_ABS / ABS_PRESSURE         1797
E: 3.003868 0004 0000 -1630459253	# EV_MSC / MSC_SERIAL           -1630459253
E: 3.003868 0000 0000 0000	# ------------ SYN_REPORT (0) ---------- +5ms
E: 3.013001 0003 0018 1815	# EV_ABS / ABS_PRESSURE         1815
E: 3.013001 0004 0000 -1630459253	# EV_MSC / MSC_SERIAL           -1630459253
E: 3.013001 0000 0000 0000	# ------------ SYN_REPORT (0) ---------- +10ms
E: 3.018000 0003 0000 20673	# EV_ABS / ABS_X                20673
E: 3.018000 0003 0018 1833	# EV_ABS / ABS_PRESSURE         1833
E: 3.018000 0004 0000 -1630459253	# EV_MSC / MSC_SERIAL           -1630459253
E: 3.018000 0000 0000 0000	# ------------ SYN_REPORT (0) ---------- +5ms
E: 3.028006 0003 0001 12162	# EV_ABS / ABS_Y                12162
E: 3.028006 0003 0018 1848	# EV_ABS / ABS_PRESSURE         1848
E: 3.028006 0004 0000 -1630459253	# EV_MSC / MSC_SERIAL           -1630459253
E: 3.028006 0000 0000 0000	# ------------ SYN_REPORT (0) ---------- +10ms
E: 3.032807 0003 0001 12164	# EV_ABS / ABS_Y                12164
E: 3.032807 0003 0018 1862	# EV_ABS / ABS_PRESSURE         1862
E: 3.032807 0004 0000 -1630459253	# EV_MSC / MSC_SERIAL           -1630459253
E: 3.032807 0000 0000 0000	# ------------ SYN_REPORT (0) ---------- +4ms
E: 3.042899 0003 0000 20675	# EV_ABS / ABS_X                20675
E: 3.042899 0003 0001 12167	# EV_ABS / ABS_Y                12167
E: 3.042899 0003 0018 1876	# EV_ABS / ABS_PRESSURE         1876
E: 3.042899 0004 0000 -1630459253	# EV_MSC / MSC_SERIAL           -1630459253
E: 3.042899 0000 0000 0000	# ------------ SYN_REPORT (0) ---------- +10ms
E: 3.048007 0003 0001 12169	# EV_ABS / ABS_Y                12169
E: 3.048007 0003 0018 1890	# EV_ABS / ABS_PRESSURE         1890
E: 3.048007 0004 0000 -1630459253	# EV_MSC / MSC_SERIAL           -1630459253
E: 3.048007 0000 0000 0000	# ------------ SYN_REPORT (0) ---------- +6ms
E: 3.057903 0003 0000 20677	# EV_ABS / ABS_X                20677
E: 3.057903 0003 0001 12171	# EV_ABS / ABS_Y                12171
E: 3.057903 0003 0018 1904	# EV_ABS / ABS_PRESSURE         1904
E: 3.057903 0004 0000 -1630459253	# EV_MSC / MSC_SERIAL           -1630459253
